high_season,min_diff,delay_15,period_day
False,3.0,False,night
False,9.0,False,night
False,9.0,False,night
False,3.0,False,night
False,-2.0,False,night
False,34.0,True,night
False,-5.0,False,night
False,-5.0,False,night
False,40.0,True,night
False,69.0,True,night
False,-9.0,False,night
False,14.0,False,night
False,-7.0,False,night
False,-4.0,False,night
False,-11.0,False,night
False,-9.0,False,night
False,-9.0,False,night
False,-12.0,False,night
False,15.0,False,night
False,-2.0,False,night
False,2.0,False,night
False,8.0,False,night
False,-5.0,False,night
False,52.0,True,night
False,-5.0,False,night
False,0.0,False,night
False,26.0,True,night
False,-3.0,False,night
False,-5.0,False,night
False,2.0,False,night
False,2.0,False,night
False,-7.0,False,night
False,-1.0,False,night
False,5.0,False,night
False,-4.0,False,night
False,1.0,False,night
False,-5.0,False,night
False,3.0,False,night
False,-2.0,False,night
False,-4.0,False,night
False,-6.0,False,night
False,4.0,False,night
False,-4.0,False,night
False,-4.0,False,night
False,-9.0,False,night
False,-10.0,False,night
False,0.0,False,night
False,-2.0,False,night
False,1.0,False,night
False,-4.0,False,night
False,10.0,False,night
False,20.0,True,night
False,11.0,False,night
False,24.0,True,night
False,-5.0,False,night
False,-7.0,False,night
False,14.0,False,night
False,5.0,False,night
False,0.0,False,night
False,25.0,True,night
False,1.0,False,night
False,0.0,False,night
False,-4.0,False,night
False,13.0,False,night
False,-3.0,False,night
False,2.0,False,night
False,-5.0,False,night
False,0.0,False,night
False,-2.0,False,night
False,3.0,False,night
False,-9.0,False,night
False,5.0,False,night
False,-3.0,False,night
False,-4.0,False,night
False,-10.0,False,night
False,-9.0,False,night
False,62.0,True,night
False,2.0,False,night
False,-8.0,False,night
False,19.0,True,afternoon
False,60.0,True,afternoon
False,17.0,True,afternoon
False,26.0,True,afternoon
False,14.0,False,afternoon
False,67.0,True,afternoon
False,84.0,True,afternoon
False,63.0,True,afternoon
False,97.0,True,afternoon
False,17.0,True,afternoon
False,90.0,True,afternoon
False,130.0,True,afternoon
False,24.0,True,afternoon
False,77.0,True,afternoon
False,32.0,True,afternoon
False,39.0,True,afternoon
False,48.0,True,afternoon
False,6.0,False,afternoon
False,2.0,False,afternoon
False,28.0,True,afternoon
False,11.0,False,afternoon
False,33.0,True,afternoon
False,69.0,True,afternoon
False,20.0,True,afternoon
False,3.0,False,afternoon
False,22.0,True,afternoon
False,21.0,True,afternoon
False,22.0,True,afternoon
False,27.0,True,afternoon
False,6.0,False,afternoon
False,20.0,True,night
False,17.0,True,night
False,19.0,True,night
False,47.0,True,night
False,5.0,False,night
False,63.0,True,night
False,55.0,True,night
False,53.0,True,night
False,105.0,True,night
False,20.0,True,night
False,72.0,True,night
False,26.0,True,night
False,99.0,True,night
False,52.0,True,night
False,33.0,True,night
